,source,title,url,num_comments,num_authors,avg_comment_size,authors
0,SFConvertBot PRs,Adding `safetensors` variant of this model by SFconvertbot (Sao10K/L3.1-70B-Euryale-v2.2),https://huggingface.co/Sao10K/L3.1-70B-Euryale-v2.2/discussions/1#66cb730fdd40cac2972a52d4,4.0,2.0,573.75,janvarev;jukofyork
1,SFConvertBot PRs,Adding `safetensors` variant of this model by SFconvertbot (dunzhang/stella_en_400M_v5),https://huggingface.co/dunzhang/stella_en_400M_v5/discussions/2#6692be58ffea3fc00d2a6918,4.0,2.0,23.0,infgrad;andrewzliu
2,SFConvertBot PRs,Adding `safetensors` variant of this model by SFconvertbot (migtissera/Tess-v2.5.2-Qwen2-72B),https://huggingface.co/migtissera/Tess-v2.5.2-Qwen2-72B/discussions/5#666d224283571a7a056d26aa,3.0,2.0,44.666666666666664,colourspec;migtissera
3,SFConvertBot PRs,Adding `safetensors` variant of this model by SFconvertbot (cognitivecomputations/dolphin-2.1-mistral-7b),https://huggingface.co/cognitivecomputations/dolphin-2.1-mistral-7b/discussions/21#65db978a0e78521363fb28e8,6.0,3.0,83.16666666666667,Suparious;julien-c;Narsil
4,SFConvertBot PRs,Adding `safetensors` variant of this model by SFconvertbot (google-t5/t5-3b),https://huggingface.co/google-t5/t5-3b/discussions/6#659cfab61d398a238175f9dc,3.0,2.0,27.333333333333332,julien-c;lysandre
5,SFConvertBot PRs,Adding `safetensors` variant of this model by SFconvertbot (google/flan-t5-xl),https://huggingface.co/google/flan-t5-xl/discussions/24#6565af340ff3292512bcf87d,3.0,2.0,27.666666666666668,bayang;lysandre
6,SFConvertBot PRs,Adding `safetensors` variant of this model by SFconvertbot (Intel/neural-chat-7b-v3-1),https://huggingface.co/Intel/neural-chat-7b-v3-1/discussions/10#6560ba85d2e4352d6416e7f5,3.0,2.0,29.666666666666668,lcahill;lvkaokao
7,SFConvertBot PRs,Adding `safetensors` variant of this model by SFconvertbot (ai-forever/rugpt3large_based_on_gpt2),https://huggingface.co/ai-forever/rugpt3large_based_on_gpt2/discussions/5#6557bea43aff9efaadf8e174,3.0,2.0,29.0,mrsteyk;theaspect
8,SFConvertBot PRs,Adding `safetensors` variant of this model by SFconvertbot (openai/clip-vit-large-patch14-336),https://huggingface.co/openai/clip-vit-large-patch14-336/discussions/8#64f9452ae7584abc62769f15,7.0,4.0,14.714285714285714,GPT-4;vitvit;yiyang186;GeneralAwareness
9,SFConvertBot PRs,Adding `safetensors` variant of this model by SFconvertbot (google/flan-t5-small),https://huggingface.co/google/flan-t5-small/discussions/14#64b53d301917256b41577395,3.0,2.0,70.0,jbochi;ArthurZ
10,SFConvertBot PRs,Adding `safetensors` variant of this model by SFconvertbot (openai-community/gpt2-xl),https://huggingface.co/openai-community/gpt2-xl/discussions/5#64370953f8962b4332baf66c,8.0,4.0,33.25,joaogante;lysandre;julien-c;osanseviero
11,SFConvertBot PRs,Adding `safetensors` variant of this model by SFconvertbot (Norod78/hebrew_poetry-gpt_neo-small),https://huggingface.co/Norod78/hebrew_poetry-gpt_neo-small/discussions/1#64133df4ce07729a7cfc2ce1,3.0,2.0,3.0,julien-c;Norod78
12,SFConvertBot PRs,Adding `safetensors` variant of this model by SFconvertbot (impira/layoutlm-document-qa),https://huggingface.co/impira/layoutlm-document-qa/discussions/10#64133a3d6c4cf03e0e300c1b,4.0,2.0,12.75,Narsil;ankrgyl
13,SFConvertBot PRs,Adding `safetensors` variant of this model by Narsil (bert-base-uncased),https://huggingface.co/bert-base-uncased/discussions/15,2.0,2.0,1.0,Narsil;lysandre
14,SFConvertBot PRs,Adding `safetensors` variant of this model by yehiaserag (nousr/robo-diffusion-2-base),https://huggingface.co/nousr/robo-diffusion-2-base/discussions/3,6.0,2.0,15.833333333333334,nousr;yehiaserag
15,SFConvertBot PRs,Adding `safetensors` variant of this model by Sakabatou (nousr/robo-diffusion-2-base),https://huggingface.co/nousr/robo-diffusion-2-base/discussions/9,4.0,4.0,25.75,BlueDeAmoure;nousr;Sakabatou;utnah
16,SFConvertBot PRs,Adding `safetensors` variant of this model by Selbell (yehiaserag/anime-pencil-diffusion),https://huggingface.co/yehiaserag/anime-pencil-diffusion/discussions/1,5.0,2.0,15.8,yehiaserag;Selbell
17,SFConvertBot PRs,Adding `safetensors` variant of this model by patrickvonplaten (CompVis/stable-diffusion-v1-4),https://huggingface.co/CompVis/stable-diffusion-v1-4/discussions/171,2.0,2.0,1.5,patrickvonplaten;rromb
18,SFConvertBot PRs,Adding `safetensors` variant of this model by Skater-r (Fake-Person/F222),https://huggingface.co/Fake-Person/F222/discussions/1,2.0,2.0,3.0,Fake-Person;Skater-r
19,SFConvertBot PRs,Adding `safetensors` variant of this model by Cyryl (congazverse/worldBuilder),https://huggingface.co/congazverse/worldBuilder/discussions/1,3.0,3.0,7.0,congazverse;Cyryl;Lexsky
20,SFConvertBot PRs,Adding `safetensors` variant of this model by lucataco (google/flan-t5-base),https://huggingface.co/google/flan-t5-base/discussions/9,3.0,3.0,5.333333333333333,lucataco;Narsil;ybelkada
21,SFConvertBot PRs,Adding `safetensors` variant of this model by lucataco (google/flan-t5-large),https://huggingface.co/google/flan-t5-large/discussions/9,3.0,3.0,5.333333333333333,lucataco;Narsil;ybelkada
22,SFConvertBot PRs,Adding `safetensors` variant of this model by lucataco (CompVis/stable-diffusion-v1-4),https://huggingface.co/CompVis/stable-diffusion-v1-4/discussions/189,2.0,2.0,1.5,lucataco;patrickvonplaten
23,SFConvertBot PRs,Adding `safetensors` variant of this model by WhiteZero (Jartemio/The_Owl_Characters_V2),https://huggingface.co/Jartemio/The_Owl_Characters_V2/discussions/2,3.0,2.0,9.666666666666666,Jartemio;WhiteZero
24,SFConvertBot PRs,Adding `safetensors` variant of this model by Balabalabalaclava (Salesforce/codegen-350M-multi),https://huggingface.co/Salesforce/codegen-350M-multi/discussions/5,2.0,2.0,7.5,Balabalabalaclava;ybelkada
25,SFConvertBot PRs,Adding `safetensors` variant of this model by DpAi (Norod78/sd-simpsons-model),https://huggingface.co/Norod78/sd-simpsons-model/discussions/3,2.0,2.0,1.0,Norod78;DpAi
26,SFConvertBot PRs,模型如何训练？ by Pasuu (XDawned/minecraft-modpack-quests-transformer),https://huggingface.co/XDawned/minecraft-modpack-quests-transformer/discussions/1,2.0,2.0,4.0,Pasuu;XDawned
